profile,method,method_role,scale,instances,feasible_instances,feasibility_rate,mean_objective_all,mean_objective_feasible,std_objective_feasible,mean_runtime_sec,mean_vehicles_used,mean_charge_count,mean_two_opt_moves,mean_two_opt_gain,coverage_violations,time_window_violations,energy_violations
baseline,C_composite_score,tested_method,20,12,12,1.0,437.0192146020888,437.0192146020888,46.36481695462496,0.0009974584166532925,2.75,1.3333333333333333,2.4166666666666665,15.725914303974733,0,0,0
baseline,A_due_time_priority,week3_reference,20,12,3,0.25,772.5062037069591,753.5389466322067,14.282917028274914,0.0002475765832059551,4,2.5833333333333335,0,0.0,9,0,0
baseline,B_nearest_customer,baseline,20,12,12,1.0,449.47872800577693,449.47872800577693,38.179880244855006,0.00024974624981647747,2.75,1.25,0,0.0,0,0,0
baseline,C_composite_score,tested_method,50,12,12,1.0,759.2254683446766,759.2254683446766,53.67164639213339,0.006648892333335728,4.25,3,8.916666666666666,36.53037176115684,0,0,0
baseline,A_due_time_priority,week3_reference,50,12,7,0.5833333333333334,1939.9378838577027,1929.1378778256587,65.67334437178724,0.0013449097499081593,9.916666666666666,7.333333333333333,0,0.0,5,0,0
baseline,B_nearest_customer,baseline,50,12,12,1.0,724.768676734124,724.768676734124,62.105653590460406,0.0013873855000383628,4.166666666666667,2.1666666666666665,0,0.0,0,0,0
baseline,C_composite_score,tested_method,100,12,12,1.0,1115.3842894215659,1115.3842894215659,79.78957521767884,0.029558354166359397,6.666666666666667,3.3333333333333335,25.416666666666668,87.34669640394797,0,0,0
baseline,A_due_time_priority,week3_reference,100,12,12,1.0,3833.4164371104407,3833.4164371104407,144.46001605464662,0.006608142416856329,18.916666666666668,15.833333333333334,0,0.0,0,0,0
baseline,B_nearest_customer,baseline,100,12,12,1.0,1132.4842447129522,1132.4842447129522,84.14121533504651,0.0072517086668995034,6.833333333333333,2,0,0.0,0,0,0
tight_tw,C_composite_score,tested_method,20,12,12,1.0,436.8721625205666,436.8721625205666,39.15412362049068,0.0009937777501060434,2.8333333333333335,1.25,3.0833333333333335,22.981696327805885,0,0,0
tight_tw,A_due_time_priority,week3_reference,20,12,4,0.3333333333333333,776.8705099484597,767.741015318293,47.22115995882534,0.00024705549973684054,4,2.75,0,0.0,8,0,0
tight_tw,B_nearest_customer,baseline,20,12,12,1.0,449.47872800577693,449.47872800577693,38.179880244855006,0.0002401944999898357,2.75,1.25,0,0.0,0,0,0
tight_tw,C_composite_score,tested_method,50,12,12,1.0,768.4601626609933,768.4601626609933,46.52215504946359,0.007193024333446374,4.583333333333333,2.6666666666666665,11.666666666666666,44.34514756743692,0,0,0
tight_tw,A_due_time_priority,week3_reference,50,12,8,0.6666666666666666,1941.4749913477158,1912.129595266696,47.03828239146483,0.0013610694166648802,10,7.166666666666667,0,0.0,4,0,0
tight_tw,B_nearest_customer,baseline,50,12,12,1.0,723.9983384258211,723.9983384258211,64.1969118072551,0.001370267499775461,4.166666666666667,2.1666666666666665,0,0.0,0,0,0
tight_tw,C_composite_score,tested_method,100,12,12,1.0,1211.183071989535,1211.183071989535,75.01186547352901,0.02954555199994502,7.166666666666667,4.166666666666667,29.333333333333332,101.58173708555323,0,0,0
tight_tw,A_due_time_priority,week3_reference,100,12,11,0.9166666666666666,3869.9338000286925,3853.1213877382083,189.79167022530052,0.006769135416410184,19.25,15.666666666666666,0,0.0,1,0,0
tight_tw,B_nearest_customer,baseline,100,12,12,1.0,1123.095708462787,1123.095708462787,77.93187956403735,0.007441163249798895,6.833333333333333,1.75,0,0.0,0,0,0
small_battery,C_composite_score,tested_method,20,12,11,0.9166666666666666,466.96474667261737,464.91860998932464,68.97220128111442,0.0006190105000314361,3.4166666666666665,1.8333333333333333,1.8333333333333333,8.682875046733143,1,0,0
small_battery,A_due_time_priority,week3_reference,20,12,0,0.0,604.1887414596663,,,0.0002292744169002011,4,3.0833333333333335,0,0.0,12,0,0
small_battery,B_nearest_customer,baseline,20,12,12,1.0,471.6821093282319,471.6821093282319,54.93547315485937,0.00024315258360729786,3.5833333333333335,1.5833333333333333,0,0.0,0,0,0
small_battery,C_composite_score,tested_method,50,12,12,1.0,834.312451131749,834.312451131749,79.82865592286669,0.004295451499729097,6.083333333333333,3.6666666666666665,7.25,25.458220110410615,0,0,0
small_battery,A_due_time_priority,week3_reference,50,12,0,0.0,1578.083757860773,,,0.001288743083174874,10,8.916666666666666,0,0.0,12,0,0
small_battery,B_nearest_customer,baseline,50,12,12,1.0,843.9795576114701,843.9795576114701,77.9007398728741,0.0013711564171596062,5.75,4.083333333333333,0,0.0,0,0,0
small_battery,C_composite_score,tested_method,100,12,12,1.0,1225.5243257719887,1225.5243257719887,82.60707868031686,0.022292701416517957,8.583333333333334,6.25,21.75,63.78079313882863,0,0,0
small_battery,A_due_time_priority,week3_reference,100,12,0,0.0,3206.164759686837,,,0.006307107583173395,20,17.75,0,0.0,12,0,0
small_battery,B_nearest_customer,baseline,100,12,12,1.0,1168.7922279242564,1168.7922279242564,93.97673598338284,0.0067816701669774675,8.083333333333334,5.416666666666667,0,0.0,0,0,0
