method,method_role,scale,instances,feasible_instances,feasibility_rate,mean_objective_all,mean_objective_feasible,std_objective_all,std_objective_feasible,mean_runtime_sec,max_runtime_sec,mean_vehicles_used,mean_charge_count,time_window_violations,capacity_violations,energy_violations,coverage_violations,depot_violations
A_due_time_priority,tested_method,20,12,3,0.25,767.6996139327099,777.50075714685,19.562578537898588,5.187477076881451,0.0002191527501812137,0.0002827500002240413,4,2.6666666666666665,0,0,0,9,0
B_nearest_customer,baseline,20,12,12,1.0,449.7994258673721,449.7994258673721,61.11801516910859,61.11801516910859,0.00020570475013907222,0.00021470800038514426,2.6666666666666665,1.25,0,0,0,0,0
A_due_time_priority,tested_method,50,12,6,0.5,1907.9363121257988,1819.997321070492,106.14833883501963,78.54199802706573,0.002044951333421826,0.005680084000232455,9.75,6.916666666666667,0,0,0,6,0
B_nearest_customer,baseline,50,12,12,1.0,758.5607655211841,758.5607655211841,77.58663773552628,77.58663773552628,0.0016306285000003602,0.0034765840000545722,4.25,2.3333333333333335,0,0,0,0,0
A_due_time_priority,tested_method,100,12,11,0.9166666666666666,3779.5760958722194,3759.0973788657057,196.92157145784338,193.0566067326507,0.005441593749992535,0.00578529099948355,18.666666666666668,15.416666666666666,0,0,0,1,0
B_nearest_customer,baseline,100,12,12,1.0,1116.2205507308395,1116.2205507308395,64.49050769221816,64.49050769221816,0.00596403816689417,0.006251708000490908,6.583333333333333,2.0833333333333335,0,0,0,0,0
